246|1|13
135|1|6
111|2|18
107|2|18
155|2|20
108|3|6
47|3|6
50|3|12
100|4|30
89|5|4
37|5|12
201|6|24
202|6|24
1|7|30
2|7|30
11|7|30
150|7|30
69|7|30
150|8|12
2|8|12
100|8|12
246|8|12
154|9|6
154|10|4
195|10|4
200|10|2
166|11|30
170|11|30
2|11|12
181|12|6
16|12|6
29|12|6
107|12|6
100|13|12
10|13|12
7|14|4
9|15|8
200|15|8
205|15|8
109|15|8
245|16|24
88|16|24
110|16|24
240|16|24
178|16|24
18|16|24
21|17|6
38|17|6
50|17|12
91|18|24
71|18|24
3|18|24
212|18|24
244|18|24
245|19|30
101|19|30
67|19|30
69|19|30
19|20|12
85|20|12
159|20|12
182|21|15
23|21|15
63|21|15
99|21|15
109|22|6
194|22|6
239|23|2
246|23|24
111|23|4
176|24|12
19|25|24
25|25|24
26|26|26
38|27|20
41|27|20
55|27|20
62|27|20
67|27|20
74|27|20
96|27|20
114|28|24
199|29|30
209|29|30
219|29|30
221|30|12
228|30|12
241|31|24
9|32|12
68|32|12
197|32|12
203|32|12
150|33|6
180|33|6
44|34|9
137|34|9
149|34|9
222|34|9
1|35|30
10|35|30
19|36|30
69|36|30
123|36|30
1|37|24
2|37|24
3|37|24
10|38|30
95|39|30
126|39|30
166|39|30
181|39|30
204|40|12
215|40|12
218|40|12
220|40|12
244|40|24
59|40|24
105|40|24
33|41|30
77|41|30
100|42|30
88|43|24
89|43|24
90|43|24
91|43|24
119|44|30
202|44|30
237|44|30
245|44|30
66|45|12
99|45|12
149|45|12
151|45|12
19|46|30
20|46|30
241|46|30
242|46|30
19|47|30
145|47|30
200|47|30
246|47|30
8|48|12
16|48|12
29|48|12
37|48|12
57|48|12
108|48|24
112|48|24
106|49|12
116|49|24
170|49|30
205|50|30
19|50|30
13|50|30
208|50|30
117|50|30
